name,calories,protein_g,carbs_g,fat_g,fibre_g,food_group,diet_type,source
"Sweet Lassi (Meethi lassi)",36,1.3,6.5,0.7,0,"Beverages","vegetarian","INDB_Kaggle"
"Lassi (salted)",19,1.4,1.9,0.7,0,"Beverages","vegetarian","INDB_Kaggle"
"Cheese and chilli sandwich",218,6.8,27.4,9.8,2.1,"Dairy","vegetarian","INDB_Kaggle"
"Egg sandwich (Ande ka sandwich)",286,8.7,29.2,15.8,1.9,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Cucumber sandwich (Kheere ka sandwich)",189,4.8,25.8,8,2.5,"Sweets","vegetarian","INDB_Kaggle"
"Cheese and pineapple sandwich (Cheese aur ananas ka sandwich)",258,8.2,29.1,12.8,2.3,"Dairy","vegetarian","INDB_Kaggle"
"Cheese and tomato sandwich (Cheese aur tamatar ke sandwich)",243,7.9,26.9,12.3,2,"Dairy","vegetarian","INDB_Kaggle"
"Chicken sandwich",253,13.1,25.4,11.8,1.6,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich)",291,9.5,28.5,16.1,4,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Rainbow sandwich",273,7.8,34.3,12.5,2.1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Club sandwich",235,7.3,18.5,15.1,1.8,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Vegetarian club sandwich",198,5.5,19.7,11.3,2.1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Pin wheel sandwich",312,8.8,14,24.9,0.9,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Carrot apple sandwich (Gajar aur seb ka sandwich)",214,5.3,29,9.1,3.7,"Fruits","vegetarian","INDB_Kaggle"
"Salami sandwich",256,8.7,21.5,15.5,2,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Vegetable and mayonnaise sandwich",244,4.5,23.2,15.4,2.4,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Egg and tomato sandwich (Ande aur tamatar ka sandwich)",222,7.7,25.9,10.5,1.8,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Sweet open sandwich",244,5,39.2,8.2,2.4,"Sweets","vegetarian","INDB_Kaggle"
"Mushroom and cheese sandwich (toasted)",227,7.8,21,13,2.3,"Dairy","vegetarian","INDB_Kaggle"
"Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted))",225,6.8,21.4,13,1.8,"Dairy","vegetarian","INDB_Kaggle"
"Pea potato sandwich (toasted) (Matar aloo ka sandwich)",165,4.6,25.2,5.4,2.9,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Paneer pea sandwich (toasted) (Paneer matar ka sandwich)",250,12.4,24.1,12,2.1,"Dairy","vegetarian","INDB_Kaggle"
"Chicken sandwich (toasted)",167,12.1,18.8,5.3,1.6,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Pea keema sandwich (toasted) (Matar aur keema ka sandwich)",172,11.1,20.3,5.6,2.5,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Classic club sandwich",201,6.7,18.5,11.6,1.6,"Beverages","vegetarian","INDB_Kaggle"
"Sesame toast",495,1.9,11.2,49.4,1.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Cracked wheat porridge (Meetha daliya)",82,2.6,8.9,4.1,0.6,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Semolina porridge (Suji/Rava daliya)",101,3.8,12.4,4.1,0.7,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Oatmeal Porridge",73,2.6,8.8,3.2,0.4,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Cornflakes with milk",117,3.6,15,5.1,0.8,"Beverages","vegetarian","INDB_Kaggle"
"Rice flakes (Chiwda/Aval)",112,3.6,15.6,4,0.4,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Wheat flakes",112,3.6,15.6,4,0.4,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Murmura (Puffed rice)",113,3.6,15.7,4,0.3,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Puffed wheat (Murmure/Moori)",113,3.6,15.7,4,0.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Boiled egg (Ubla anda)",45,4.4,0.1,3,0.1,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Fried Egg",224,11.6,0.3,19.6,0.3,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Poached egg",124,12,0.4,8.2,0.3,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Scrambled egg (Ande ki bhurji)",156,10.3,1.4,12.2,0.2,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Baked egg",219,11.9,15.4,12.7,1,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Plain omelette/omlet",272,9.7,0.6,25.7,0.1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Stuffed egg omelette/omlet",204,8.6,2.3,17.8,0.8,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Pancake",203,5.7,20.5,10.8,0.7,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Keema pancake",176,9,9.6,11.3,0.8,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Vegetable pancake",125,3.9,12.2,6.6,2.5,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Jam and fruit pancake",162,3.8,20.7,7,1.2,"Fruits","vegetarian","INDB_Kaggle"
"Khoa and coconut pancake",272,7,27.3,15.3,1.7,"Nuts & Seeds","vegetarian","INDB_Kaggle"
"Brown stock",21,2,0.3,1.4,0.1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Vegetable stock",18,0.3,1,1.4,0.4,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Chicken stock",30,3.7,0.4,1.5,0.1,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Clear tomato soup (Tamatar ka soup)",80,4.8,3.5,12.2,2,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Lentil soup",31,9.7,3.9,11.7,2.6,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Chicken consomme (Clear chicken soup)",48,11.5,1.2,12,1.6,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Cream of tomato soup",98,4.6,3.9,13.1,1.4,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Cream of green peas soup",128,7.1,6.8,14.8,3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Cream of spinach soup",101,5.2,3.5,13.3,1.7,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Cream of mixed vegetable soup",60,6.8,4.9,9.1,2.1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Cream of mushroom soup",117,6.6,3.7,15.5,1.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Chicken sweet corn soup",28,14.5,1.6,12.6,0.5,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Minestrone soup",43,9.3,3.7,11.1,1.9,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Egg drop soup",27,12.9,1.1,13.5,0.8,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Chinese cabbage and meat ball soup",484,5.2,1.4,56.6,0.6,"Mixed Dishes","non-vegetarian","INDB_Kaggle"
"French onion soup",56,11.4,4.3,14.4,1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Hot and sour soup",32,3.1,1.8,1.3,0.6,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Talaumein soup",36,10.1,4.2,12.8,1.9,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Cold cucumber soup (Thanda kheere ka soup)",48,3,4.6,2,0.9,"Sweets","vegetarian","INDB_Kaggle"
"Cold summer garden soup",49,8.6,2.7,14.1,1.9,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Chapati/Roti",202,5.9,35.7,3.6,6.3,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Plain parantha/paratha",298,5.1,30.7,16.9,5.4,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Potato parantha/paratha (Aloo ka parantha/paratha)",205,3.7,23.9,10.2,4.2,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Radish parantha/paratha (Mooli ka parantha/paratha)",184,3.3,20.5,9.5,4.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha)",178,3.7,18.8,9.5,4.7,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Dal parantha/paratha",268,6.8,30,13.1,6.5,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Sprouted moong parantha/paratha",229,4.3,24.3,12.4,4.5,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Pea parantha/paratha (Matar ka parantha/paratha)",191,5.6,21.5,8.8,5.6,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Keema parantha/paratha",238,9.4,18.4,13.9,3.4,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Paneer parantha/paratha",263,8,24.3,14.6,4,"Dairy","vegetarian","INDB_Kaggle"
"Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha)",216,5.5,21.4,12.1,4.4,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Poori",738,1.4,8.2,77.6,1.5,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Spinach poori (Palak poori)",684,1.4,7.8,71.9,1.6,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Methi poori",710,1.5,8,74.6,1.6,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Dal stuffed poori",785,2.1,10.1,81.7,2,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Potato stuffed poori (Aloo ki poori)",777,1.5,9.4,81.4,1.6,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Tandoori parantha/paratha",295,5.1,30.7,16.5,5.4,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Boiled rice (Uble chawal)",117,2.6,25.7,0.2,1.3,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Plain pulao",140,2.3,21.8,4.6,1.7,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Mixed vegetable pulao",113,2.7,17.5,3.3,2.7,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Mushroom pulao",124,2.5,19,4,1.9,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Sprouted moong pulao",113,2.2,17.5,3.6,1.8,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Paneer pulao",582,2,8.8,59.8,0.6,"Dairy","vegetarian","INDB_Kaggle"
"Peanut pulao",193,5.3,21.2,9.5,2.9,"Nuts & Seeds","vegetarian","INDB_Kaggle"
"Navratan pulao",262,6.2,37,9.5,3.8,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Green chickpeas pulao (Choliya pulao/Hare chane ka pulao)",173,4.9,27.6,4.8,3.2,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Mutton biryani/biriyani",191,7.4,22.5,7.7,2.4,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Vegetable biryani/biriyani",175,3.2,18.6,9.5,3.3,"Mixed Dishes","non-vegetarian","INDB_Kaggle"
"Sweet rice (Meethe chawal)",215,2.1,42.6,4.6,1.1,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam)",196,5.8,32.9,4.3,2.1,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna)",373,7.5,65.1,8.5,5.1,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Spanish rice",164,4.2,31.1,2.2,2.8,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Chinese fried rice",121,4.1,13.4,5.4,2.3,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Macroni cheese pie",171,5.9,21.1,7.5,0.4,"Dairy","vegetarian","INDB_Kaggle"
"Vegetable chowmein",130,3.1,15.4,6.4,1.9,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Chicken chowmein",151,6.3,13.3,8.2,1.6,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Cheese noodle ring",134,6.2,14,6.1,1.3,"Dairy","vegetarian","INDB_Kaggle"
"Spaghetti and cheese balls in tomato sauce",508,2.4,7.8,52.1,0.6,"Dairy","vegetarian","INDB_Kaggle"
"Penne platter",177,5,20.9,8.7,1.1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Pasta hot pot",125,5.8,11.6,6.5,0.8,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Chicken lasagne",187,10.5,13.9,10.4,0.1,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Fettuccine with spinach sauce",129,3.1,12.2,7.8,0.8,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Naan",286,8.1,51.8,5,1.9,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Bhatura",793,1.6,10.7,82.6,0.4,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Idli",138,4.6,28.2,0.3,2.3,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Masala dosa",165,3.3,19.6,7.8,2.5,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Semolina dosa (Suji/Rava dosa)",227,7.3,32.8,7.1,4,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Onion tomato uttapam",462,1.9,11.3,45.3,1.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Paneer kaathi roll",286,6.9,20.1,19.6,2.4,"Dairy","vegetarian","INDB_Kaggle"
"Makki ki roti",264,3.5,24.2,16.9,5.2,"Cereals & Grains","vegetarian","INDB_Kaggle"
"Washed moong dal (Dhuli moong ki dal)",50,2.7,5.9,1.7,1.2,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Washed urad dal (Dhuli urad ki dal)",61,2.5,5.8,3,1.5,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Split bengal gram with bottle gourd (Channa dal with ghiya/lauki)",73,2.8,7.1,3.6,2.7,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Dry washed urad",125,6.9,15.7,3.5,4.1,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Mixed dal",62,2.5,5.8,3.1,1.6,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Whole moong (Moong ki dal)",54,2.3,5.2,2.6,2,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Whole masoor (Masoor ki dal)",54,2.3,5.4,2.5,2,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Whole moth (Moth ki dal)",55,2,5.7,2.6,1.9,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Whole urad (Urad ki dal)",54,2.2,5.1,2.6,2.3,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Moti mahal dal (Urad rajmah mix dal)",103,3.9,8.7,5.7,3.4,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Black channa curry/Bengal gram curry (Kale chane ki curry)",141,5.7,14.1,6.6,8,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Chickpeas curry (Safed channa curry)",163,6.1,20,6.8,4.7,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Lobia curry",149,6.1,17.9,5.6,4.6,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Soyabean curry",163,10.4,6.8,10.2,7.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Kidney bean curry (Rajmah curry)",144,6,16.4,5.8,5.8,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Sambar",97,3.4,10.6,4.4,3.5,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Besan kadhi with pakodies",403,1.6,3.6,42.6,0.8,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Khatta channa",203,6.3,21.1,10.6,5.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Sprouted moong dal chat",32,1.4,6,0.3,1.4,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Potato cauliflower (Aloo gobhi)",106,1.9,6,8.1,3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Potato capsicum (Shimla mirch aloo)",126,1.4,8.7,9.3,2,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Cabbage and peas (Pattagobhi aur matar)",64,3.2,6.2,2.6,4,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Carrot and fenugreek leaves (Gajar methi)",62,2.1,4.2,3.8,4.4,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Potato fenugreek (Aloo methi)",135,2.3,8.5,10,2.9,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Brinjal bhartha (Baingan ka bhartha)",65,1.4,4.4,4.5,3.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Dry potato (Sookhe aloo)",103,1.6,14.4,4.2,1.9,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Beans with coconut (Nariyal aur sem/phali; Beans thoran)",132,2.6,4.4,11.4,5.6,"Nuts & Seeds","vegetarian","INDB_Kaggle"
"Cauliflower with coconut (Nariyal ke saath phoolgobhi)",132,2.6,4,11.6,5.3,"Nuts & Seeds","vegetarian","INDB_Kaggle"
"Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar)",107,1.8,5,8.6,4.5,"Nuts & Seeds","vegetarian","INDB_Kaggle"
"Raw turnip with coconut",132,1.8,5.8,11.5,2.8,"Nuts & Seeds","vegetarian","INDB_Kaggle"
"Raw papaya with coconut (Papaya thoran)",133,1.5,5.6,11.4,4.3,"Fruits","vegetarian","INDB_Kaggle"
"Stuffed okra (Bharwa bhindi)",94,2.1,3.9,7.7,4.2,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Stuffed round gourd (Bharwa tinde)",73,1.1,4,5.8,2.1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Stuffed capsicum (Bharwa shimla mirch)",91,1.3,8.3,5.7,2,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Stuffed brinjal (Bharwa baingan)",93,1.5,4,7.7,4.1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Stuffed tomatoes (Bharwa tamatar)",93,3.3,6.2,6.1,2.2,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Pea potato curry (Aloo matar)",101,3.5,9.7,5.1,3.6,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Pea paneer curry (Matar paneer)",135,6.6,9.3,7.8,3.3,"Dairy","vegetarian","INDB_Kaggle"
"Pea mushroom curry (Matar mushroom)",93,3.9,7.4,5.2,3.9,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Pea curry (Matar ki sabzi)",103,4.5,9.2,5.1,4.4,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Pea vadi curry",102,4.6,8.9,5.1,4.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Paneer curry",177,7.8,8.4,12.4,1.4,"Dairy","vegetarian","INDB_Kaggle"
"Lotus stem curry (Kamal kakdi curry)",110,1.5,9.2,7.3,3.1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Gravy for kofta",126,1.8,6.3,10.4,2,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Pea kofta curry (Matar kofta curry)",596,2,4.2,63.4,1.7,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Spinach kofta curry (Palak kofta curry)",572,1.1,3.6,61.5,0.9,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Paneer kofta curry",671,2.4,3.3,72.1,0.4,"Dairy","vegetarian","INDB_Kaggle"
"Lotus stem kofta curry (Kamal kakdi kofta curry)",634,1,5,67.8,1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Raw banana kofta curry (Kela kofta curry)",627,0.6,3.4,68,0.6,"Fruits","vegetarian","INDB_Kaggle"
"Cauliflower kofta curry (Phoolgobhi kofta curry)",641,1,2.6,69.6,1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Cabbage kofta curry (Pattagobhi kofta curry)",640,1,2.9,69.4,0.9,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Ghiya/Lauki Kofta Curry",639,0.9,2.7,69.4,0.8,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Spinach paneer kofta curry (Palak paneer kofta curry)",606,1.4,2.9,65.4,0.8,"Dairy","vegetarian","INDB_Kaggle"
"Vegetarian egg kofta curry",627,1.3,4.3,67.2,0.6,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Baked vegetables",89,3.7,8.4,4.4,2.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Cauliflower musallam (Phoolgobhi musallam)",59,1.9,4.5,3.6,3.1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Baked vegetables with spinach",78,3.2,6.9,4,2.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Baked potato with skin",136,3.4,11.1,8.5,1.2,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Shepherd's pie (vegetarian)",136,5,12,7.3,2.2,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Baked brinjal in tomato sauce",39,1.6,4.1,1.6,2.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Dum aloo",682,0.7,3.3,74,0.7,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Spinach paneer (Palak paneer)",78,4,4.4,4.8,1.9,"Dairy","vegetarian","INDB_Kaggle"
"Methi chaman",476,1.5,2.8,50.9,0.5,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Sarson ka saag",88,3,5.3,5.9,3.7,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Jackfruit sabzi (Kathal ki sabzi)",625,0.7,3.4,67.6,1,"Fruits","vegetarian","INDB_Kaggle"
"Avial",125,2.5,8.5,8.9,5.4,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Al yakhani",148,2.9,4.7,13.1,1.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Shahi paneer",157,5.1,6.6,12.3,1.4,"Dairy","vegetarian","INDB_Kaggle"
"Paneer in butter sauce",146,7,9.7,8.8,1.5,"Dairy","vegetarian","INDB_Kaggle"
"Methi malai paneer",195,7.3,8.2,14.8,1.5,"Dairy","vegetarian","INDB_Kaggle"
"Chilli paneer",778,2.1,3.3,84,0.5,"Dairy","vegetarian","INDB_Kaggle"
"Paneer makhana korma",776,3.2,4.6,82.8,0.2,"Dairy","vegetarian","INDB_Kaggle"
"Kadhai Paneer",108,4.3,7.3,6.8,2.1,"Dairy","vegetarian","INDB_Kaggle"
"Roghan josh",140,9.6,4.9,9,2.1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Spinach mutton (Palak mutton)",80,5.7,3.5,4.7,2.2,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Pea keema curry (Matar keema ki sabzi)",133,8.4,6.2,8.1,3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Keema kofta curry",154,9.8,5.6,10.4,1.5,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Kashmiri mutton koftas (Gushtaba)",97,6.3,3,6.8,0.6,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Mutton yakhni",104,8.3,0.8,7.7,0.7,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Chicken yakhni",99,10.7,0.8,6.1,0.6,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Mutton do piaza",183,9.4,4.1,14.4,1.9,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Mutton chops",664,4,1.5,71.3,0.2,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Shammi kebab",686,4.5,3.5,72.6,1.1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Scotch egg",677,4.1,1.9,72.6,0.4,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Shepherd's pie (with minced meat)",143,7.5,8.1,8.9,1.1,"Mixed Dishes","non-vegetarian","INDB_Kaggle"
"Chicken curry",129,11.8,3.4,7.6,1.4,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Tandoori chicken",145,16.3,2.3,7.9,0.5,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Butter chicken",137,10.9,3.7,8.7,1.3,"Dairy","non-vegetarian","INDB_Kaggle"
"Chicken kebab",729,3.7,1.1,78.9,0.2,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Chilli chicken",199,9.6,2.9,16.6,1,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath)",125,11.5,2.5,7.6,1.1,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Fish curry (Machli curry)",111,8.8,3.8,6.7,1.9,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Fried fish (Indian style) (Tali hui machli)",659,4.4,5.4,68.9,0.6,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Fried fish and Chips (English Style) (Tali hui machli aur chips)",652,3.4,2.8,69.7,0.3,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Tomato fish",490,2.4,3.2,51.9,0.7,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Baked fish with cheese sauce",114,8.6,4.1,7,0.1,"Dairy","non-vegetarian","INDB_Kaggle"
"Fish tikka",117,16,3.9,4.2,1.2,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Tandoori fish",96,11.2,2.4,4.6,0.6,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Russian salad",115,4.3,6.5,7.8,2.6,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Pasta salad",190,4.2,12.7,13.9,1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Deviled egg",99,5,2.2,7.7,1.2,"Meat & Seafood","non-vegetarian","INDB_Kaggle"
"Hawain salad",175,4.3,14.4,11.4,3.9,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Mixed pulse and vegetable salad",83,4.7,14,0.8,3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Sprouted moong salad",38,2.3,5.5,0.7,1,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Tossed salad",63,1,5,4.2,2.2,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Mixed vegetable salad with curd sauce",60,4.2,7,1.5,3.8,"Dairy","vegetarian","INDB_Kaggle"
"Potato salad (Aloo ka salaad)",90,1.4,11.2,4.4,1.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Waldroff salad",142,1.5,11,10.1,1.9,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Coleslaw",77,1.2,5.6,5.3,2.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Fruit salad (Phalon ka salaad)",78,0.9,16,1.2,1.6,"Fruits","vegetarian","INDB_Kaggle"
"Tomato onion raita (Tamatar aur pyaaz ka raita)",59,3.7,7.1,1.8,1,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Peanut raita (Mungfali ka raita)",150,8.6,9.3,9,1.9,"Nuts & Seeds","vegetarian","INDB_Kaggle"
"Sprouted moong raita",61,4.6,6.1,2.2,0.2,"Pulses & Legumes","vegetarian","INDB_Kaggle"
"Bottle gourd raita (Ghiya/Lauki ka raita)",56,4,5.8,2.1,0.9,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Cucumber raita (Kheere ka raita)",59,4,6.4,2.1,0.9,"Sweets","vegetarian","INDB_Kaggle"
"Carrot and spinach raita (Gajar aur palak ka raita)",57,4,5.8,2,1.4,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Mint raita (Pudinay ka raita)",78,5.6,7.7,3,0.3,"Mixed Dishes","vegetarian","INDB_Kaggle"
"Potato raita (Aloo ka raita)",75,4.2,10.2,2,0.8,"Mixed Dishes","vegetarian","INDB_Kaggle"
